Name,revised_gender,UniversityType,Institution,college_names,archive_link,college_url,scholar_profile_url,State,Specialisation,AreaofInterest,UGDegree,UGDepartment,UGInstitute,PGDegree,PGDepartment,PGInstitute,MPhil,MPhilDepartment,MPhilInstitute,Doctoral,DoctoralDepartment,DoctoralInstitute,FirstJobPosition,FirstJobInstitution,FirstJobDuration,SecondJobPosition,SecondJobInstitution,SecondJobDuration,ThirdJobPosition,ThirdJobInstitution,ThirdJobDuration,FourthJobPosition,FourthJobInstitution,FourthJobDuration,FifthJobPosition,FifthJobInstitution,FifthJobDuration,SixthJobPosition,SixthJobInstitution,SixthJobDuration,SeventhJobPosition,SeventhJobInstitution,SeventhJobDuration,EightJobPosition,EightJobInstitution,EightJobDuration,NinthJobPosition,NinthJobInstitution,NinthJobDuration,TenthJobPosition,TenthJobInstitution,TenthJobDuration,EleventhJobPosition,EleventhJobInstitution,EleventhJobDuration,TwelfthJobPosition,TwelfthJobInstitution,TwelfthJobDuration,ThirteenthJobPosition,ThirteenthJobInstitution,ThirteenthJobDuration,FourteenthJobPosition,FourteenthJobInstitution,FourteenthJobDuration,FifteenthJobPosition,FifteenthJobInstitution,FifteenthJobDuration,unique_id,university_type,name,institution,UniversityType_id,State_id,Name_id,Institution_id,unique_id_1,Current_Designation,dept,state,CurrentDesignation_r,identifier,names_scholar,other_names,position,field,total_citation,h-index,i10-index,profile_since,co-authors
Achal Kumar Gaur,Male,Central,Banaras Hindu University,Banaras Hindu University,http://web.archive.org/web/20221130201045/https://www.bhu.ac.in/,https://www.bhu.ac.in/,https://scholar.google.com/citations?user=V56TCN4AAAAJ&hl=en,Uttar Pradesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1300180032.0,Central,Achal Kumar Gaur,Banaras Hindu University,1,34,45,18,1340180045,Professor,Economics,Uttar Pradesh,Professor,,Hidayath Ulla,not found,"NCFlexE, IIT Kanpur","Organic Electronics, Flexible Electronics",582,14,18,Since 2019,"M.N. SatyanarayanProfessor, Physics Department, NITK Surathkal, indiaVerified email at nitk.edu.in, Dr. M Raveendra KiranPresidency University, BangaloreVerified email at presidencyuniversity.in, Prof. A. Vasudeva AdhikariNational Institute of Technology Karnataka Surathkal and Yenepoya Research Centre, Yenepoya deemedVerified email at nitk.ac.in, Vaidyanathan SivakumarProfessor of chemistry, Indian Institute of Technology HyderabadVerified email at chy.iith.ac.in, Jayathirtha Rao VaidyaCSIR-Indian Institute of Chemical Technology, HyderabadVerified email at iict.res.in, Bhanuprakash KotamarthiChief Scientist, CSIR-IICTVerified email at iict.res.in, Jean Maria FernandesDepartment of PhysicsVerified email at nitw.ac.in, Dr. Vinaykumar D RRRI, IndiaVerified email at nitk.edu.in, Dr.A. S. Achalkumar, FRSC, FICSProfessor, Department of Chemistry, IIT GuwahatiVerified email at iitg.ernet.in, BALARAM PRADHANPostdoctoral Research FellowVerified email at nih.gov, Joydip DeMRSC, Alexander von Humboldt Fellow, University of Würzburg, Former: Marie-Curie Fellow (MSCA-IF)Verified email at uni-wuerzburg.de, Santanu Kumar PalIISER MohaliVerified email at iisermohali.ac.in, Subrata NathAssistant Professor, VIT-Bhopal UniversityVerified email at vitbhopal.ac.in, Ravindra Kumar Gupta, PhDPostdoctoral Associate, University of Arkansas, JSPS Postdoctoral Fellow, NIMS Japan, IIT GuwahatiVerified email at uark.edu, Kartick TarafderNational Institute of Technology Karnataka, IndiaVerified email at nitk.edu.in, Ahipa T NAssociate Professor, Centre for Nano and Material Sciences, Jain Global Campus, BangaloreVerified email at jainuniversity.ac.in, Krishna PrasadCentre for Nano and Soft Matter SciencesVerified email at cens.res.in"
Achiransu Acharyya,Male,Central,Visva Bharati,Visva Bharati,No snapshot available,https://www.visvabharati.ac.in/,not found,West Bengal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1322520033.0,Central,Achiransu Acharyya,Visva Bharati,1,36,46,295,1362950046,Assistant Professor,Economics & Politics,West Bengal,Assistant Professor,,not found,not found,not found,not found,not found,not found,not found,not found,not found
Achuthankutty Gopakumar,Male,Deemed,Indira Gandhi Institute of Development Research,Indira Gandhi Institute of Development Research,http://web.archive.org/web/20240802041421/http://www.igidr.ac.in/,http://www.igidr.ac.in/,not found,Maharashtra,"Social choice theory, Game theory, and Microeconomic theory",,,,,,,,,,,Ph.D,Quantitative Economics,Indian Statistical Institute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2171130034.0,Deemed,Achuthankutty Gopakumar,Indira Gandhi Institute of Development Research,2,20,47,158,2201580047,Assistant Professor (Contract),Economics,Maharashtra,Assistant Professor,,not found,not found,not found,not found,not found,not found,not found,not found,not found
"Addai, B",Male,State,Dr. B. R. Ambedkar University,Dr. B. R. Ambedkar University,http://web.archive.org/web/20240701041257/https://dbrau.ac.in/,https://dbrau.ac.in/,https://scholar.google.com/citations?user=i8qVxPMAAAAJ&hl=en,Andhra Pradesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3010740035.0,State,"Addai, B",Dr. B. R. Ambedkar University,6,1,48,74,6010740048,Professor & Head,Economics,Andhra Pradesh,Professor,,Benjamin Adu-Addai,not found,Unknown affiliation,not found,118,5,5,Since 2019,not found
Aditi Chaubal,Female,IIT,Indian Institute of Technology Bombay,Indian Institute of Technology Bombay,http://web.archive.org/web/20240802091753/https://www.iitb.ac.in/,https://www.iitb.ac.in/,https://scholar.google.com/citations?user=BcZO5BcAAAAJ&hl=en,Maharashtra,,"Nonlinear time series analysis
Macroeconomics,
Monetary Economics",B.Sc.,Mathematics,"St. Xavier'sCollege, Mumbai",M.Sc.,,"Indira Gandhi Institute of Development Research, Mumbai",,,,Ph.D,,"Indira Gandhi Institute of Development Research, Mumbai",Research assistant,Indira Gandhi Institute of Development Research,2009-2013,Research Assistant,Indira Gandhi Institute of Development Research.,2013-2014:,Economic Research Officer,"Australian Consulate General,Mumbai.",2015-2018,Assistant Professor,IIT-Bombay,June 2018-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IIT,Aditi Chaubal,Indian Institute of Technology Bombay,5,20,49,155,5201550049,Assistant Professor,Economics,Maharashtra,Assistant Professor,,ADITI CHAUBAL,not found,"Associate Professor, Indian Institute of Technology Bombay","Economics, time series analysis, monetary economics, macroeconomics, development economics",204,2,2,Since 2019,"Narendra Shiradkar, PhDAssociate Professor, Electrical Engineering, Indian Institute of Technology BombayVerified email at ee.iitb.ac.in, Anil KottantharayilIndian Institute of Technology BombayVerified email at iitb.ac.in, Vimarsh PadhaPhD Scholar, Department of Economics -IIT BombayVerified email at iitb.ac.in"
Aditya Kumar Patra,Male,State,Maharaja Sriram Chandra Bhanja Deo University(Earlier North Orissa University),Maharaja Sriram Chandra Bhanja Deo University(Earlier North Orissa University),http://web.archive.org/web/20240801024418/https://www.nou.nic.in/,https://www.nou.nic.in/,https://scholar.google.com/citations?user=Og8I9MEAAAAJ&hl=en,Odisha,Mathematical Economics & Econometrics.,,,,,M.A,,,M.Phil.,,,Ph.D.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3221510036.0,State,Aditya Kumar Patra,Maharaja Sriram Chandra Bhanja Deo University(Earlier North Orissa University),6,25,50,195,6251950050,Associate Professor,Economics,Odisha,Associate Professor,,Aditya Kumar Patra,not found,Indian Institute of Technology Kharagpur,Air Pollution,1389,20,30,Since 2019,"Dr Sneha Gautam (Top 2% Global Sci...Associate Professor; Karunya University, India II NCTU Taiwan II IIT KGPVerified email at karunya.edu, Dr. Soma Sekhara Rao KolluruProgram Associate, CEEWVerified email at ceew.in, Professor Prashant KumarChair in Air Quality & Health; Co-Director, Institute for Sustainability; Founding Director GCAREVerified email at surrey.ac.uk, Ashis BhattacherjeeProfessor, Department of Mining Engineering, IIT KharagpurVerified email at mining.iitkgp.ernet.in, Dr. Basanta Kumar PrustyIndian Institute KharagpurVerified email at mining.iitkgp.ernet.in, Dhanjee Kumar ChaudharyIIT KharagpurVerified email at iitkgp.ac.in, Michael HitchUniversity of the Fraser ValleyVerified email at ufv.ca, Simit RavalAssociate Professor, UNSW SydneyVerified email at unsw.edu.au, Shubhankar MajumdarAssistant Professor of National Institute of Technology, MeghalayaVerified email at nitm.ac.in, Dr. Atar Singh PipalIndian Institute of Tropical Meteorology, Pune, Physical Research Laboratory, Ahmedabad, IndiaVerified email at prl.res.in, Jayanta BhattacharyaIndian Institute of Technology KharagpurVerified email at mining.iitkgp.ac.in, Subhabrata DevAssistant Professor in Environmental Engineering, University of Alaska AnchorageVerified email at alaska.edu, debi tripathyProfessor, NIT, RourkelaVerified email at nitrkl.ac.in"
ADITYA SHRINIVAS,Male,IIM,IIM-Bangalore,IIM-Bangalore,http://web.archive.org/web/20240801232617/https://www.iimb.ac.in/,https://www.iimb.ac.in/,https://scholar.google.com/citations?user=FMBDXg4AAAAJ&hl=en,Karnataka,,Development Economics,"BE, ","Computer Science,","SJCE Mysore India,","MPA,",Public Adiministration,Cornell University,,,,Ph.D.,Applied Economics,University of Illinois Urbana Champaign,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IIM,ADITYA SHRINIVAS,IIM-Bangalore,3,16,23,115,3161150023,Assistant Professor,Economics,Karnataka,Assistant Professor,,Aditya Shrinivas,not found,"Assistant Professor, IIM Bangalore","Development Economics, Food Security, Risk Sharing, Price Analysis",849,4,3,Since 2019,"Rachel Bezner KerrProfessor, Department of Global Development, Cornell UniversityVerified email at cornell.edu, Kathy BaylisProfessor of Geography, University of California, Santa BarbaraVerified email at ucsb.edu, Benjamin CrostUniversity of Illinois at Urbana-ChampaignVerified email at illinois.edu, Miguel I. GomezRobert G. Tobin Professor of Applied Economics, Cornell UniversityVerified email at cornell.edu, Marcel FafchampsStanford UniversityVerified email at stanford.edu, Prabhu PingaliCornell UniversityVerified email at cornell.edu"
Aditya Vikram,Male,IIT,Indian Institute of Technology Kanpur,Indian Institute of Technology Kanpur,No snapshot available,https://www.iitk.ac.in/,https://scholar.google.com/citations?user=QD75k7oAAAAJ&hl=en,Uttar Pradesh,,"Mechanism design, Auction theory",Btech,Electrical Engineering (Power),Indian Institute of Technology Delhi,M.A.,Economics,Delhi School of Economics,,,,PhD,Quantitative Economics,"Indian Statistical Institute, Delhi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IIT,Aditya Vikram,Indian Institute of Technology Kanpur,5,34,51,157,5341570051,Assistant Professor,Economic Sciences,Uttar Pradesh,Assistant Professor,,Aditya Vikram,not found,"Renewable Energy Research Facility, Delhi Technological University","Optimization Algorithms, Artificial Intelligence, Renewable Energy",17,3,0,Since 2019,not found
Agnirup Sarkar,Male,IIT,IIT Guwahati,IIT Guwahati,http://web.archive.org/web/20240801190709/https://iitg.ac.in/,https://www.iitg.ac.in/,not found,Assam,Economics,"Macroeconomics, Monetary Economics, Finance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IIT,Agnirup Sarkar,IIT Guwahati,5,2,52,139,5021390052,Assistant Professor,Humanities and Social Sciences,Assam,Assistant Professor,,not found,not found,not found,not found,not found,not found,not found,not found,not found
Aishwarya Harichandan,Female,IIM,IIM-Sirmaur,IIM-Sirmaur,No snapshot available,https://www.iimsirmaur.ac.in/,not found,Himachal Pradesh,"Microeconomics, Game Theory, International Economics, Behavioral Economics and Environmental Economics.","Economics of Crime, International Trade and Law and Economics.",BA,Economics,Delhi University,MA,Economics,"Centre for International Trade and Development, JNU",M.Phil.,Economics,"Centre for International Trade and Development, JNU",PhD,Economics,"Centre for International Trade and Development, JNU",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IIM,Aishwarya Harichandan,IIM-Sirmaur,3,11,53,127,3111270053,Assistant Professor,Economics and Business Environment,Himachal Pradesh,Assistant Professor,,not found,not found,not found,not found,not found,not found,not found,not found,not found
Aishwarya Harichandan,Female,Deemed,Christ (Delhi NCR Campus),Christ (Delhi NCR Campus),http://web.archive.org/web/20240801173729/https://ncr.christuniversity.in/,https://ncr.christuniversity.in/,not found,Karnataka,,,,,,MA,,,M.Phil.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2130530037.0,Deemed,Aishwarya Harichandan,Christ (Delhi NCR Campus),2,16,53,53,2160530053,ASSISTANT PROFESSOR,Economics,Karnataka,Assistant Professor,,not found,not found,not found,not found,not found,not found,not found,not found,not found
Aiswarya Thomas,Female,Deemed,Christ (Bangalore Campus),Christ (Bangalore Campus),http://web.archive.org/web/20231201123607/https://christuniversity.in/bangalore-central-campus,https://christuniversity.in/bangalore-central-campus,https://scholar.google.com/citations?user=rZfoHVMAAAAJ&hl=en,Karnataka,,,,,,MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2130520038.0,Deemed,Aiswarya Thomas,Christ (Bangalore Campus),2,16,54,52,2160520054,ASSISTANT PROFESSOR,Economics,Karnataka,Assistant Professor,,AISWARYA THOMAS,not found,"Assistant Professor of Economics, Christ deemed to be University","Monetary Policy, Interest Rates, Macro Economics",3,1,0,Since 2019,not found
