Name,revised_gender,UniversityType,Institution,college_names,archive_link,college_url,scholar_profile_url,State,Specialisation,AreaofInterest,UGDegree,UGDepartment,UGInstitute,PGDegree,PGDepartment,PGInstitute,MPhil,MPhilDepartment,MPhilInstitute,Doctoral,DoctoralDepartment,DoctoralInstitute,FirstJobPosition,FirstJobInstitution,FirstJobDuration,SecondJobPosition,SecondJobInstitution,SecondJobDuration,ThirdJobPosition,ThirdJobInstitution,ThirdJobDuration,FourthJobPosition,FourthJobInstitution,FourthJobDuration,FifthJobPosition,FifthJobInstitution,FifthJobDuration,SixthJobPosition,SixthJobInstitution,SixthJobDuration,SeventhJobPosition,SeventhJobInstitution,SeventhJobDuration,EightJobPosition,EightJobInstitution,EightJobDuration,NinthJobPosition,NinthJobInstitution,NinthJobDuration,TenthJobPosition,TenthJobInstitution,TenthJobDuration,EleventhJobPosition,EleventhJobInstitution,EleventhJobDuration,TwelfthJobPosition,TwelfthJobInstitution,TwelfthJobDuration,ThirteenthJobPosition,ThirteenthJobInstitution,ThirteenthJobDuration,FourteenthJobPosition,FourteenthJobInstitution,FourteenthJobDuration,FifteenthJobPosition,FifteenthJobInstitution,FifteenthJobDuration,unique_id,university_type,name,institution,UniversityType_id,State_id,Name_id,Institution_id,unique_id_1,Current_Designation,dept,state,CurrentDesignation_r,identifier
ABHILASH S NAIR,Male,IIM,IIM-Kozhikode,IIM-Kozhikode,,,,Kerala,,"pricing models, market microstructure, and regulatory economics",B.B.A.,Finance,Sardar Patel University,M.B.A.,Finance,Sardar Patel University,,,,Ph.D.,Economics,Indian Institute of Technology Bombay,Assistant Professor and Chairperson Finance,Accounting and Control Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IIM,ABHILASH S NAIR,IIM-Kozhikode,3,17,21,121,3171210021,Professor,"Finance, Accounting & Control",Kerala,Professor,
Abhiman Das,Male,IIM,IIM-Ahmedabad,IIM-Ahmedabad,,,,Gujarat,,"Monetary Economics
Applied Econometrics and Time Series Analysis
Theory of Firms
Banking Efficiency and Productivity Analysis using both Parametric and Nonparametric methods
Survey Data Analysis
Measurement of Macro-Economic Indicators
Economic Development
Current Research:
Transmission of Monetary Policy
Measurement of Inflation Expectations
Economic Development and Banking
Efficiency and Productivity of Banking","B. Sc., ","Honours in Statistics, with Mathematics and Physics, ",Calcutta University.,M. Sc," Statistics, Population Studies","Calcutta University, International Institute for Population Sciences, Bombay",,,,"Ph.D,","Population Studies,","International Institute for Population Sciences, Bombay",Certified Associate,Indian Institute of Bankers (CAIIB),2006,Professor,Indian Institute of Management Ahmedabad,2015-Present,Chairperson,"Economics Area, IIM Ahmedabad",April 2016 to March 2018,Chairperson,"Doctoral (Ph. D.) Programme in Management, IIM Ahmedabad",April 2018 to March 2020,RBI Chair Professor,"Finance and Economics, IIM Ahmedabad",April 2016 to April 2022,Chairperson,Misra Centre for Financial Markets and Economy,April 2019 to April 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IIM,Abhiman Das,IIM-Ahmedabad,3,9,40,114,3091140040,Professor,Economics,Gujarat,Professor,
Abhinaba Lahiri,Male,IIT,IIT Jodhpur,IIT Jodhpur,,,,Rajasthan,,"Social Choice Theory, Mechanism Design, Game Theory",,,,,,,,,,Ph.D.,Quantitative Economics Department,"Maastricht University, Maastricht, The Netherlands",Assistant Professor,Indian School of Business and Finance,August 2017 - June 2018,Assistant Professor,"Indian Institute of Science Education and Research, Bhopal",July 2018 - June 2021,Assistant Professor,"Indian Institute of Technology, Jodhpur",August 2021 - Present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IIT,Abhinaba Lahiri,IIT Jodhpur,5,28,41,143,5281430041,Assistant Professor,Centre for Mathematical and Computational Economics,Rajasthan,Assistant Professor,
Abhinav Anand,Male,IIM,IIM-Bangalore,IIM-Bangalore,,,,Karnataka,,"Quantitative Finance, Financial Econometrics and Non-cooperative Games.","B Tech,",Chemical Engineering," NIT Karnataka, Surathkal, India ",MS,"Applied Mathematics and Statistics,","SUNY Stony Brook, USA ",,,,PhD,"Economics,","SUNY Stony Brook, USA ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IIM,Abhinav Anand,IIM-Bangalore,3,16,42,115,3161150042,Full-time Visiting Faculty,Finance & Accounting,Karnataka,Professor,
Abhishek Samantray,Male,IIT,IIT Roorkee,IIT Roorkee,,,,Uttarakhand,,"Contemporary Socio-Economic Topics (e.g., digital markets & society, sustainable health & development, finance & society, etc.), Business & Industry Analytics, Applied Data Science (statistics, causal inference, networks, big data analytics)",,,,"Master of Science (5-year Integrated Programme), Master in Economics","Mathematics, Economic Theory and Econometrics","National Institute of Science Education and Research (Bhubaneswar, India), Toulouse School of Economics (Toulouse, France)",,,,Ph.D.,"Economics, Management and Data Science","IMT School for Advanced Studies Lucca (Lucca, Italy)",Faculty Member,IIT Roorkee,April 2021 - Present,Joint Faculty Member,Mehta Family School of Data Science and Artificial Intelligence,June 2021 - Present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IIT,Abhishek Samantray,IIT Roorkee,5,35,43,149,5351490043,Assistant Professor,Humanities and Social Sciences,Uttarakhand,Assistant Professor,
ABHRADEEP MAITI,Male,IIM,IIM-Kashipur,IIM-Kashipur,,,,Uttarakhand,"Microeconomics 
Applied Econometrics for Managers
Advanced Microeconomics
Econometrics-I
Labor Economics
Applied Empirical Methods",Applied Microeconomics,BSc,Economics,University of Calcutta,MA,"Economics,","University of Oklahoma, USA",,,,PhD,Economics,"Middle Tennessee State University, USA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IIM,ABHRADEEP MAITI,IIM-Kashipur,3,35,22,120,3351200022,Associate Professor & Area Chairperson,Economics,Uttarakhand,Associate Professor,
Abodh Kumar,Male,Central,Central University of South Bihar,Central University of South Bihar,,,,Bihar,"Microeconomics, Development Economics, Behavioral Economics",,,,,,,,,,,Ph.D.,Economics,"Mumbai School of Economics and Public Policy (MSE-PP), Mumbai",Research Associate,"National Council of Applied Economic Research, (NCAER), New Delhi ","December, 2006 –June, 2007",Junior Lecturer,"Symbiosis Centre for Management and Human Resource Development (SCMHRD), Symbiosis International University, Pune","July, 2007to August, 2009",Assistant Professor,"Symbiosis Centre for Management and Human Resource Development (SCMHRD), Symbiosis International University, Pune","August, 2009 –August 2013",Assistant Professor,"Department of Economic Studies and Policy, School of Social Sciences and Policies, Central University of South Bihar",Since September 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1030460031,Central,Abodh Kumar,Central University of South Bihar,1,4,44,46,1040460044,Associate Professor,ECONOMIC STUDIES AND POLICY,Bihar,Associate Professor,
Achal Kumar Gaur,Male,Central,Banaras Hindu University,Banaras Hindu University,,,,Uttar Pradesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1300180032,Central,Achal Kumar Gaur,Banaras Hindu University,1,34,45,18,1340180045,Professor,Economics,Uttar Pradesh,Professor,
Achiransu Acharyya,Male,Central,Visva Bharati,Visva Bharati,,,,West Bengal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1322520033,Central,Achiransu Acharyya,Visva Bharati,1,36,46,295,1362950046,Assistant Professor,Economics & Politics,West Bengal,Assistant Professor,
Achuthankutty Gopakumar,Male,Deemed,Indira Gandhi Institute of Development Research,Indira Gandhi Institute of Development Research,,,,Maharashtra,"Social choice theory, Game theory, and Microeconomic theory",,,,,,,,,,,Ph.D,Quantitative Economics,Indian Statistical Institute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2171130034,Deemed,Achuthankutty Gopakumar,Indira Gandhi Institute of Development Research,2,20,47,158,2201580047,Assistant Professor (Contract),Economics,Maharashtra,Assistant Professor,
"Addai, B",Male,State,Dr. B. R. Ambedkar University,Dr. B. R. Ambedkar University,,,,Andhra Pradesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3010740035,State,"Addai, B",Dr. B. R. Ambedkar University,6,1,48,74,6010740048,Professor & Head,Economics,Andhra Pradesh,Professor,
Aditi Chaubal,Female,IIT,Indian Institute of Technology Bombay,Indian Institute of Technology Bombay,,,,Maharashtra,,"Nonlinear time series analysis
Macroeconomics,
Monetary Economics",B.Sc.,Mathematics,"St. Xavier'sCollege, Mumbai",M.Sc.,,"Indira Gandhi Institute of Development Research, Mumbai",,,,Ph.D,,"Indira Gandhi Institute of Development Research, Mumbai",Research assistant,Indira Gandhi Institute of Development Research,2009-2013,Research Assistant,Indira Gandhi Institute of Development Research.,2013-2014:,Economic Research Officer,"Australian Consulate General,Mumbai.",2015-2018,Assistant Professor,IIT-Bombay,June 2018-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IIT,Aditi Chaubal,Indian Institute of Technology Bombay,5,20,49,155,5201550049,Assistant Professor,Economics,Maharashtra,Assistant Professor,
Aditya Kumar Patra,Male,State,Maharaja Sriram Chandra Bhanja Deo University(Earlier North Orissa University),Maharaja Sriram Chandra Bhanja Deo University(Earlier North Orissa University),,,,Odisha,Mathematical Economics & Econometrics.,,,,,M.A,,,M.Phil.,,,Ph.D.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3221510036,State,Aditya Kumar Patra,Maharaja Sriram Chandra Bhanja Deo University(Earlier North Orissa University),6,25,50,195,6251950050,Associate Professor,Economics,Odisha,Associate Professor,
ADITYA SHRINIVAS,Male,IIM,IIM-Bangalore,IIM-Bangalore,,,,Karnataka,,Development Economics,"BE, ","Computer Science,","SJCE Mysore India,","MPA,",Public Adiministration,Cornell University,,,,Ph.D.,Applied Economics,University of Illinois Urbana Champaign,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IIM,ADITYA SHRINIVAS,IIM-Bangalore,3,16,23,115,3161150023,Assistant Professor,Economics,Karnataka,Assistant Professor,
Aditya Vikram,Male,IIT,Indian Institute of Technology Kanpur,Indian Institute of Technology Kanpur,,,,Uttar Pradesh,,"Mechanism design, Auction theory",Btech,Electrical Engineering (Power),Indian Institute of Technology Delhi,M.A.,Economics,Delhi School of Economics,,,,PhD,Quantitative Economics,"Indian Statistical Institute, Delhi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IIT,Aditya Vikram,Indian Institute of Technology Kanpur,5,34,51,157,5341570051,Assistant Professor,Economic Sciences,Uttar Pradesh,Assistant Professor,
Agnirup Sarkar,Male,IIT,IIT Guwahati,IIT Guwahati,,,,Assam,Economics,"Macroeconomics, Monetary Economics, Finance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IIT,Agnirup Sarkar,IIT Guwahati,5,2,52,139,5021390052,Assistant Professor,Humanities and Social Sciences,Assam,Assistant Professor,
Aishwarya Harichandan,Female,IIM,IIM-Sirmaur,IIM-Sirmaur,,,,Himachal Pradesh,"Microeconomics, Game Theory, International Economics, Behavioral Economics and Environmental Economics.","Economics of Crime, International Trade and Law and Economics.",BA,Economics,Delhi University,MA,Economics,"Centre for International Trade and Development, JNU",M.Phil.,Economics,"Centre for International Trade and Development, JNU",PhD,Economics,"Centre for International Trade and Development, JNU",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IIM,Aishwarya Harichandan,IIM-Sirmaur,3,11,53,127,3111270053,Assistant Professor,Economics and Business Environment,Himachal Pradesh,Assistant Professor,
Aishwarya Harichandan,Female,Deemed,Christ (Delhi NCR Campus),Christ (Delhi NCR Campus),,,,Karnataka,,,,,,MA,,,M.Phil.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2130530037,Deemed,Aishwarya Harichandan,Christ (Delhi NCR Campus),2,16,53,53,2160530053,ASSISTANT PROFESSOR,Economics,Karnataka,Assistant Professor,
Aiswarya Thomas,Female,Deemed,Christ (Bangalore Campus),Christ (Bangalore Campus),,,,Karnataka,,,,,,MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2130520038,Deemed,Aiswarya Thomas,Christ (Bangalore Campus),2,16,54,52,2160520054,ASSISTANT PROFESSOR,Economics,Karnataka,Assistant Professor,
